ID,"prefLabel
",Definitionsvorschlag,scopeNote,altLabel
1,Obersthofmeister,,,
2,Oberster Direktor des Geheimen Rates,,,
3,Geheime Räte,,,
4,Geheimer Hofkriegsrat,,,
5,Obersthofmarschall,,,
6,Reichshofratspräsident,,,
7,Reichshofräte,,,
8,Räte,,,
9,Reichshoffiskal,,,
10,Hofkammerratspräsident,,,
11,Hofkammerräte,,,
12,Hofkriegsräte,,,
13,Mustermeister,,,
14,Hofkriegsratsdiener,,,
15,Stabelmeister,,,
16,Mundschenken,,,
17,Panatier,,,
18,Truchsessen,,,
19,Huschier,,,
20,Truchsessentafeldiener,,,
21,Oberstsilberkämmerer,,,
22,Untersilberkämmerer,,,
23,Silberdiener,,,
24,Silberwäscher,,,
25,Mundwäscherin,,,
26,Hofdiener auf drei und mehr Pferden,,,
27,Hofdiener auf zwei Pferden,,,
28,Hofdiener auf einem Pferd,,,
29,Andere Hofdiener,,,
30,Reichsvizekanzler,,,
31,Deutsche Reichshofkanzleisekretäre,,,
32,Hofkriegskanzleisekretäre,,,
33,Lateinischer Reichshofkanzleisekretär,,,
34,Hofkammerkanzleisekretäre,,,
35,Deutsche Reichshofkanzlei,,,
36,Deutsche Reichshofkanzleischreiber,,,
37,Deutsche Reichshofkanzeldiener,,,
38,Lateinsche Reichshofkanzlei,,,
39,Hofkammerkanzlei,,,
40,Hofkammerkanzleischreiber,,,
41,Hofkammekanzleidiener,,,
42,Hofkammerbuchhalter,,,
43,Hofkammerbuchhalterei,,,
44,Hofkriegskanzlei,,,
45,Hofkriegskanzleidiener,,,
46,Türhüter,,,
47,Spanischer Sekretär,,,
48,Botschafter in der Republik Venedig,,,
49,Ungarischer Kanzler,,,
50,Ungarischer Vizekanzler,,,
51,Ungarische Hofsekretäre,,,
52,Oberstkanzler der Böhmischen Kurie,,,
53,Vizekanzler der Böhmischen Krone,,,
54,Böhmische Hofkanzlei,,,
55,Hofpostmeister,,,
56,Hofkuriere,,,
57,Dolmetscher,,,
58,Hofkriegsratsdolmetscher,,,
59,Hartschierhauptmann,,,
60,Hartschiere,,,
61,Trabantenhauptmann,,,
62,Trabanten,,,
63,Küchenmeister,,,
64,Küchenmeisteramtsverwalter,,,
65,Sommellier,,,
66,Kellerschreiber,,,
67,Unterkellner,,,
68,Mund- und Hofbäcker,,,
69,Lichtkämmerer,,,
70,Zuckerbäcker,,,
71,Küchenschreiber,,,
72,Einkäufer,,,
73,Zuschroter,,,
74,Mundköche,,,
75,Meisterköche,,,
76,Pastetenköche,,,
77,Pastetenkochsgehilfen,,,
78,Unterköche,,,
79,Junge Köche,,,
80,Zusetzer,,,
81,Küchenbuben,,,
82,Küchenträger,,,
83,Holzhacker,,,
84,Zehrgadenträger,,,
85,Marktträger,,,
86,Zehrgadner,,,
87,Unterzehrgander,,,
88,Küchentürhüter,,,
89,Zinnwäscher und Offizierstageldiener,,,
90,Hofgesindeärzte,,,
91,Mathematikus,,,
92,Hofarzt,,,
93,Hofzahlmeister,,,
94,Hofzahlamzsmeisterkontrolleur,,,
95,Hofkammerdiener,,,
96,Hofkontrolleur,,,
97,Hofkontrolleuramtsdiener,,,
98,Herolde,,,
99,Saaltürhüter,,,
100,Hofportier,,,
101,Tapezier,,,
102,Tapezereimacher,,,
103,Ungarischer Schneider,,,
104,Hofbarbier,,,
105,Wundarzt,,,
106,Hoftischler,,,
107,Geflügelmaier,,,
108,Hofwachskerzler,,,
109,Falkenmeister,,,
110,Falkner,,,
111,Jägermeister,,,
112,Jäger,,,
113,Vogeljäger,,,
114,Plchenknechte,,,
115,"Hund-, Jägersbuben",,,
116,Hofquartiermeister,,,
117,Sektretäre des Obersthofmarschallamts,,,
118,Hoffouriere,,,
119,Einspännige,,,
120,Hofprediger,,,
121,Eleosinarius,,,
122,Kapläne,,,
123,Oratoriendiener,,,
124,Kapellendiener,,,
125,Kapellmeister,,,
126,Vizekapellmeister,,,
127,Kammermusikanten,,,
128,Bassisten,,,
129,Tenoristen,,,
130,Altisten,,,
131,Diskantisten,,,
132,Organisten,,,
133,Notist,,,
134,Concordero,,,
135,Sängerknabenpräzeptor,,,
136,Sängerknaben,,,
137,Oberstkämmerer,,,
138,Kämmerer,,,
139,Kammerdiener,,,
140,Kammerzwerg,,,
141,Obergarderobier,,,
142,Untergarderobier,,,
143,Leibärzte,,,
144,Leibbarbier,,,
145,Unterbarbier,,,
146,Leibapotheker,,,
147,Kammerfourier,,,
148,Kammerfourieramtsgehilfe,,,
149,Antiquar,,,
150,Hostoriograph,,,
151,Bibliothekar,,,
152,Destillierer,,,
153,Kammertürhüter,,,
154,Kammerheizer,,,
155,Leibwäscherin,,,
156,Leibnäherin,,,
157,Oberstkämmererstafelwäscherin,,,
158,Kammertrabanten,,,
159,Oberstkämmerrtafeldiener,,,
160,Büchsenmacher,,,
161,Büchsenschäfter,,,
162,Astronomischer und geometrischer Instrumentenmacher,,,
163,Goldschmied,,,
164,Kupferstecher,,,
165,Vergolder,,,
166,Conterfeter und Maler,,,
167,Bildhauer,,,
168,Perlhefter,,,
169,Edelsteinschneider,,,
170,Leibschneider,,,
171,Hosenschneider,,,
172,Kürschner,,,
173,Leibmatratzenmacher,,,
174,Barettmacher,,,
175,Seidensticker,,,
176,Seidenschnurmacher,,,
177,Uhrmacher,,,
178,Bildschnitzer und Kammertischler,,,
179,Ballmacher,,,
180,Oberststallmeister,,,
181,Edelknabenhofmeister,,,
182,Edelknaben,,,
183,Edelknabenpräzeptor,,,
184,Edelknabenunterhofmeister und -präzeptor,,,
185,Edelknabentafeldecker,,,
186,Edelknabenhausdiener,,,
187,Edelknabentanzmeister,,,
188,Ballschläger,,,
189,Ballonschläger,,,
190,Edelknabenfechtmeister,,,
191,Lautenist,,,
192,Roßbereiter,,,
193,Futtermeister,,,
194,Futterschreiber,,,
195,Harnischmeister,,,
196,Plattner,,,
197,Büchsenspanner,,,
198,Obersattelknecht,,,
199,Untersattelknecht,,,
200,Seidennäher und Stallperlhefter,,,
201,Stallseidneschnurmacher,,,
202,Zeltmeister,,,
203,Zeltschneider,,,
204,Sattler,,,
205,Stallschneider,,,
206,Leibschuster,,,
207,Federschmücker,,,
208,Stallvergolder und Rapiermacher,,,
209,Hofsporer,,,
210,Schmied,,,
211,Stallknechte,,,
212a,Spanische und Klepperknechte,,,
212b,b. Kutscher und Knechte,,,
212c,c. Kutschersbuben,,,
212d,d. Allerlei niederige Stalloffiziere,,,
212e,e. Beschälknecht,,,
212f,f. Kutschenknecht,,,
212g,g. Wagenknechte,,,
212h,h. Stiefelwischer,,,
212,Lakaien,,,
213,Eselmeister,,,
214,Eseltreiber,,,
215,Eselsattler,,,
216,Eselschmied,,,
217,Obersttrompeter,,,
218,Trompeter,,,
219,Heerpauker,,,
220,Leopardenwächter,,,
221,Abrichter der wilden Tiere,,,
222,Elefantenwächter,,,
223,Gestütmeister,,,
224,Geschirrmeister,,,
225,Leibschiffmann,,,
226,Schiffmann,,,
227,Profos,,,
228,Stechenknechte,,,
229,Wachtknecht,,,
230,Stockmeister,,,
