PersonInstitutionRelation,Titles
Träger/in von,Finanzwachoberrespizient
Mitarbeiter,Titel und Charakter eines Sektionschefs
leitender Mitarbeiter,Finanzrat
Sektionschef,Ing.
Ministerialrat,Abgeordneter
Sektionsrat,Freiherr von
Ministerialsekretär,Bahnoffiziant
Oberlandesgerichtsrat,Hofrat
Statthaltereirat,Finanzdirektor
Kreisgerichtspräsident,Ritter von
Statthalter,Adelstitel
Landesverweser,Hausinspektor
Wirtschaftskommissär,Vizeadmiral
Finanzsekretär,Ministerialsekretär
Abgeordneter in,Oberfinanzrat
Mitglied von,Hilfsämteroberdirektor
Vertreter von,Zolloberinspektor
Sekretär,geheimer Rat
Generalsekretär,Inspektor
Inspektor,Dr.-Ing.
Oberinspektor,Fürst/in von
Kontrollor,von
Oberkontrollor,Dr.
Präsident des Generalrates,Titel eines Sektionschefs
Direktor,Edle/r von
Prokurist,Graf/Gräfin von
Direktor-Stellvertreter,Dr. h.c.
Mit-Chef,Feldmarschallleutnant
Chef,PostadjunktIn
Gesellschafter,Ministerialrat
Adelstitel,
Freiherr/Freifrau,
Edle/r,
Gremialrat,
Oberrechnungsrat,
Generaldirektor,
Direktor der Zweigstelle,
Zentralinspektor,
Finanzbezirksdirektor,
Vorstand,
Prokurator,
Ritter,
Graf/Gräfin,
Fürst/in,
Finanzrat,
Finanzlandesdirektor,
Finanzlandesdirektor Stv.,
Oberfinanzrat,
Oberbergrat,
Gouverneur,
Vizepräsident,
Landespräsident,
Redakteur,
Redakteur I. Klasse,
Generalinspektor,
Präsident,
EmpfängerIn von,
Finanzwachoberrespizient,
Hilfsämteroberdirektor,
Ritter von,
Konzipist,
Leiter,
Steuerlandesinspektor,
Minister des kaiserlichen und königlichen Hauses und des Äußeren,
Leiter des Ministeriums des kaiserlichen Hauses und des Äußeren,
Reichsfinanzminister,
Leiter des Reichsfinanzministeriums,
Reichs-Kriegsminister,
Kriegsminister,
Chef der Marinesektion im Reichskriegsministerium,
Ministerpräsident,
Vizepräsident,
Innenminister,
Unterrichtsminister,
Justizminister,
Minister für Landesverteidigung,
Finanzminister,
Handelsminister,
Ackerbauminister,
Minister ohne Geschäftsbereich,
Staatsminister für Galizien,
Leiter des Ministeriums für Landesverteidigung,
Leiter des Unterrichtsministeriums,
Tschechischer Landsmannminister,
Deutscher Landsmannminister,
Leiter Unterrichtsministerium,
Leiter Justizministerium,
Leiter Handelsministerium,
Leiter Ackerbauministerium,
Leiter Staatsministerium für Galizien,
Eisenbahnminister,
Leiter Innenministerium,
Minister für Öffentliche Arbeiten,
Minister für Kultus und Unterricht,
Ernährungsamt,
Leiter Ministerium für Ackerbau (?),
Leiter Ministerium für Landesverteidigung,
Minister für Volksernährung,
Minister für soziale Fürsorge,
Minister für Volksgesundheit,
Slowenischer Landmannminister,
