"Quelle: Personenregister zu: Michael Hochedlinger, Petr Mata, Thomas Winkelbauer (Hrsg.), Verwaltungsgeschichte der Habsburgermonarchie in der Frühen Neuzeit. Band 1: Hof und Dynastie, Kaiser und Reich, Zentralverwaltungen, Kriegswesen und landesfürstliches Finanzwesen. Wien u.a.: Böhlau 2019, ISBN 978-3-205-20766-5",
Abenteurer,"
"
Abt von Admont,Kirche
Abt von Kremsmünster,Kirche
Abt von Lilienfeld,Kirche
Abt von Rein,Kirche
Administrator,
Administrator der königlichen Einnahmen in Eperies (Zipser Kammer/Administration),
Administrator der königlichen Einnahmen in Oberungarn,
Administrator der Zipser Kammer,
Administrator und Präsident der Oberösterreichischen Hofkammer,
Admiral,
Amtsverwalter des Obersthofmarschalls,
Anwalt von Österreich ob der Enns,
Anwalt von Österreich unter der Enns,
Apostolischer Feldvikar,Kirche
Architekt,
Archivar,
Armaturverleger,
Assessor der Böhmischen Hofkanzlei,
Ayo,
Bankier,
Banus von Kroatien,
Baumeister,
Bauschreiber,
Bausuperintendent,
Beamte der Staatskanzlei,
Beamte der Ungarischen Hofkanzlei,
Beamter der Böhmischen Hofkanzlei,
Beamter der BöhmischÖsterreichischen Hofkanzlei,
Beamter der Hofkammer,
Beamter der Hofkammer bzw. der Finanzkonferenz,
Beamter der Hofkanzlei,
Beamter der Hofrechenkammer,
Beamter der Niederösterreichischen Regierung,
Beamter der Österreichischen Hofkanzlei,
Beamter der Reichshofkanzlei,
Beamter der Siebenbürgischen Hofkanzlei,
Beamter der Staatskanzlei,
Beamter der Ungarischen Hofkanzlei,
Beamter der Vereinigten Hofstellen,
Beamter des Directoriums in publicis et cameralibus,
Beamter des Hofkriegsrates,
Beamter des Hofkriegsrats,
Beamter des Innsbrucker Militärdirektoriums,
Beamter des Spanischen Rates,
Beamter im Directorium in publicis et cameralibus,
Beck von Leopoldsdorf,
Beichtvater,
Beichtvater Maria Theresias,
Benediktiner,
bevollmächtigter Minister in den Österreichischen Niederlanden,
bevollmächtigter Minister in der Lombardei,
Bildhauer,
Bischof,Kirche
Bischof von Agram,Kirche
Bischof von Eichstätt,Kirche
Bischof von Erlau,Kirche
Bischof von Freising und Naumburg,Kirche
Bischof von Großwardein,Kirche
Bischof von Merseburg,Kirche
Bischof von Neutra,Kirche
Bischof von Olmütz,Kirche
Bischof von Osnabrück,Kirche
Bischof von Passau,Kirche
Bischof von Passau und Straßburg,Kirche
Bischof von Präsident der Ungarischen Kammer,Kirche
Bischof von Raab,Kirche
Bischof von Siebenbürgen,Kirche
Bischof von Speyer,Kirche
Bischof von St. Pölten,Kirche
Bischof von Temeswar,Kirche
Bischof von Tinnin,Kirche
Bischof von Trient und Brixen,Kirche
Bischof von Veszprém,Kirche
Bischof von Veszprém und Erlau,Kirche
